ID,State,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Overall Homeless People in Families,Overall Chronically Homeless,Overall Homeless Veterans,Year
294,MI,12592,10270,2322,7397,5195,1370,1017,2012
295,MN,7744,6754,990,3540,4204,1718,309,2012
296,MO,10237,7893,2344,4855,5382,1632,899,2012
297,MS,2413,1042,1371,1794,619,501,244,2012
298,MT,1833,1153,680,1166,667,388,323,2012
299,NC,13524,8809,4715,8480,5044,1621,1413,2012
300,ND,688,635,53,485,203,86,160,2012
301,NE,3789,2957,832,2215,1574,501,249,2012
302,NH,1496,1329,167,832,664,274,127,2012
303,NJ,13025,11429,1596,6603,6422,1026,592,2012
304,NM,3245,2397,848,2136,1109,1072,345,2012
305,NV,8497,3970,4527,7493,1004,1725,1229,2012
306,NY,69566,65482,4084,30133,39433,4897,4961,2012
307,OH,13977,12246,1731,7855,6122,1982,1244,2012
308,OK,5032,3043,1989,3454,1578,569,404,2012
309,OR,15828,6545,9283,9788,6040,3302,1356,2012
310,PA,14736,13660,1076,7295,7441,2106,1456,2012
311,PR,3212,1346,1866,2494,718,3251,116,2012
312,RI,1277,1249,28,788,489,154,96,2012
313,SC,4915,2776,2139,3327,1588,528,543,2012
314,SD,859,795,64,512,347,138,124,2012
315,TN,9426,5778,3648,6905,2521,2266,1285,2012
316,TX,34052,17501,16551,20743,13309,6650,4364,2012
317,UT,3527,3052,475,2049,1478,443,330,2012
318,VA,8424,6995,1429,5084,3340,1646,881,2012
319,VI,484,106,378,438,46,193,33,2012
320,VT,1160,937,223,653,507,228,109,2012
321,WA,20504,15027,5477,11273,9231,2213,1475,2012
322,WI,6027,5446,581,3033,2994,487,539,2012
323,WV,2410,1533,877,1742,668,410,268,2012
324,WY,1813,475,1338,1302,511,452,311,2012
325,AK,1946,1741,205,1362,584,184,210,2013
326,AL,4689,3246,1443,3387,1302,858,511,2013
327,AR,3812,1664,2148,3174,638,602,462,2013
328,AZ,10562,7431,3131,6510,4052,1188,1222,2013
329,CA,118552,45554,72998,93458,25094,33112,12895,2013
330,CO,9754,7591,2163,4664,5090,1780,685,2013
331,CT,4448,3529,919,3101,1347,1046,341,2013
332,DC,6865,6353,512,3696,3169,2027,499,2013
333,DE,946,936,10,575,371,71,89,2013
334,FL,47862,19670,28192,31359,16503,9647,5505,2013
335,GA,16971,8510,8461,12880,4091,3082,1805,2013
336,GU,1271,128,1143,296,975,290,32,2013
337,HI,6335,3745,2590,3355,2980,1180,558,2013
338,IA,3084,2950,134,1524,1560,327,229,2013
339,ID,1781,1404,377,1084,697,271,208,2013
340,IL,13425,11229,2196,7958,5467,1574,1267,2013
341,IN,6096,5396,700,3751,2345,580,743,2013
342,KS,2693,2382,311,1480,1213,356,414,2013
343,KY,5245,4491,754,3302,1943,541,607,2013
344,LA,5226,3651,1575,3908,1318,1115,575,2013
345,MA,19029,18179,850,6694,12335,2115,1253,2013
346,MD,8205,6283,1922,5221,2984,1480,673,2013
347,ME,3016,2954,62,1563,1453,176,164,2013
348,MI,11527,9339,2188,7236,4291,1106,1100,2013
349,MN,8214,7299,915,3728,4486,1350,349,2013
350,MO,8581,6501,2080,4652,3929,1037,843,2013
351,MS,2403,1083,1320,1753,650,475,210,2013
352,MT,1878,1094,784,1211,667,227,309,2013
353,NC,12168,9013,3155,7530,4638,1842,1123,2013
354,ND,2069,674,1395,1230,839,179,241,2013
355,NE,3145,2972,173,1892,1253,414,183,2013
356,NH,1447,1245,202,798,649,255,125,2013
357,NJ,12002,10603,1399,6093,5909,1237,540,2013
358,NM,2819,2391,428,1786,1033,525,243,2013
359,NV,7039,3698,3341,6200,839,724,790,2013
360,NY,77430,73273,4157,31235,46195,6317,4659,2013
361,OH,12325,10987,1338,7611,4714,1753,1212,2013
362,OK,4408,3262,1146,3179,1229,719,437,2013
363,OR,13822,6432,7390,8994,4828,3043,1494,2013
364,PA,15086,13727,1359,7973,7113,1681,1462,2013
365,PR,4128,1402,2726,3470,658,2130,82,2013
366,RI,1384,1267,117,862,522,251,97,2013
367,SC,6544,3411,3133,4736,1808,483,636,2013
368,SD,1094,755,339,557,537,217,125,2013
369,TN,9528,6321,3207,6909,2619,2219,991,2013
370,TX,29615,17525,12090,20758,8857,5535,3878,2013
371,UT,3277,2859,418,1959,1318,454,327,2013
372,VA,7625,6603,1022,4532,3093,1356,719,2013
373,VI,482,119,363,444,38,87,33,2013
374,VT,1454,1270,184,701,753,217,128,2013
375,WA,17760,12707,5053,10617,7143,2196,1318,2013
376,WI,6104,5736,368,3005,3099,521,552,2013
377,WV,2240,1612,628,1544,696,432,329,2013
378,WY,953,501,452,677,276,244,137,2013
379,AK,1784,1639,145,1209,575,206,178,2014
380,AL,4561,3518,1043,3115,1446,729,542,2014
381,AR,2936,1503,1433,2303,633,519,361,2014
382,AZ,10495,7926,2569,6194,4301,959,858,2014
383,CA,113952,42515,71437,90765,23187,31078,12096,2014
384,CO,10028,8083,1945,5573,4455,1621,753,2014
385,CT,4450,3531,919,3069,1381,1215,295,2014
386,DC,7748,7352,396,3953,3795,2029,406,2014
387,DE,901,864,37,584,317,91,93,2014
388,FL,41542,19851,21691,28730,12812,7989,4552,2014
389,GA,16521,8214,8307,12403,4118,3004,1443,2014
390,GU,1356,126,1230,332,1024,67,36,2014
391,HI,6918,3813,3105,3750,3168,1301,593,2014
392,IA,3122,2926,196,1544,1578,244,202,2014
393,ID,2104,1468,636,1234,870,244,215,2014
394,IL,13107,11409,1698,7350,5757,1488,1234,2014
395,IN,5971,5568,403,3953,2018,596,725,2014
396,KS,2783,2534,249,1533,1250,320,393,2014
397,KY,5089,4258,831,3352,1737,727,600,2014
398,LA,4606,3503,1103,3444,1162,776,437,2014
399,MA,21237,20478,759,6788,14449,3311,1264,2014
400,MD,7856,6267,1589,4980,2876,1740,654,2014
401,ME,2726,2633,93,1348,1378,244,152,2014
402,MI,12227,10075,2152,7535,4692,1293,1122,2014
403,MN,8377,7582,795,3652,4725,1235,317,2014
404,MO,7282,6309,973,4307,2975,997,652,2014
405,MS,2226,1405,821,1714,512,282,279,2014
406,MT,1745,911,834,1167,578,270,256,2014
407,NC,11491,8874,2617,7498,3993,1431,1164,2014
408,ND,1258,794,464,886,372,115,151,2014
409,NE,3026,2917,109,1893,1133,426,241,2014
410,NH,1376,1243,133,795,581,338,171,2014
411,NJ,11671,10736,935,6446,5225,1399,630,2014
412,NM,2746,2318,428,1804,942,709,318,2014
413,NV,8582,4797,3785,7356,1226,705,1036,2014
414,NY,80590,76487,4103,32643,47947,7212,2542,2014
415,OH,11823,10720,1103,7704,4119,1481,1236,2014
416,OK,4191,3259,932,2964,1227,671,408,2014
417,OR,12164,6101,6063,7988,4176,2695,1292,2014
418,PA,15333,14301,1032,8359,6974,1607,1411,2014
419,PR,4132,1406,2726,3432,700,2063,87,2014
420,RI,1190,1170,20,779,411,204,108,2014
421,SC,5057,3249,1808,3813,1244,273,703,2014
422,SD,885,830,55,490,395,118,132,2014
423,TN,9415,6383,3032,6800,2615,2195,1142,2014
424,TX,28495,18228,10267,19177,9318,5416,2718,2014
425,UT,3081,2768,313,1729,1352,422,317,2014
426,VA,7020,6330,690,4234,2786,1021,620,2014
427,VI,448,85,363,425,23,88,32,2014
428,VT,1559,1396,163,823,736,283,120,2014
429,WA,18442,12540,5902,11390,7052,2535,1433,2014
430,WI,6055,5712,343,2929,3126,524,520,2014
