ID,STATE,HOMELESSNESS,YEAR
667,IL,15487,2007
668,IN,7358,2007
669,KS,2111,2007
670,KY,8061,2007
671,LA,5494,2007
672,MA,15127,2007
673,MD,9628,2007
674,ME,2638,2007
675,MI,28295,2007
676,MN,7323,2007
677,MO,6247,2007
678,MS,1377,2007
679,MT,1150,2007
680,NC,11802,2007
681,ND,636,2007
682,NE,3531,2007
683,NH,2248,2007
684,NJ,17314,2007
685,NM,3015,2007
686,NV,8642,2007
687,NY,62601,2007
688,OH,11264,2007
689,OK,4221,2007
690,OR,17590,2007
691,PA,16220,2007
692,PR,4309,2007
693,RI,1372,2007
694,SC,5660,2007
695,SD,579,2007
696,TN,11210,2007
697,TX,39788,2007
698,UT,3011,2007
699,VA,9746,2007
700,VI,559,2007
701,VT,1035,2007
702,WA,23379,2007
703,WI,5648,2007
704,WV,2409,2007
705,WY,537,2007
