State,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Overall Homeless People in Families,Overall Chronically Homeless,Overall Homeless Veterans,Year
OH,12569,10729,1840,7719,4850,2240,1527,2010
OK,5229,3315,1914,3317,1912,620,474,2010
OR,19492,7231,12261,10731,8761,2601,1285,2010
PA,14516,13418,1098,7191,7325,1524,1441,2010
PR,4149,1404,2745,3721,428,2218,106,2010
RI,1282,1206,76,704,578,86,91,2010
SC,4473,3036,1437,3194,1279,674,687,2010
SD,731,667,64,445,286,109,135,2010
TN,10276,6999,3277,7623,2653,2495,1679,2010
TX,35121,19191,15930,24078,11043,6512,5133,2010
UT,3284,2722,562,1926,1358,406,342,2010
VA,9080,7439,1641,5338,3742,1510,995,2010
VI,487,92,395,468,19,385,42,2010
VT,1220,1078,142,797,423,133,117,2010
WA,22878,16489,6389,11901,10977,2106,2043,2010
WI,6333,5253,1080,3040,3293,727,609,2010
WV,2264,1524,740,1527,737,516,576,2010
WY,579,515,64,327,252,101,85,2010
AK,2128,1760,368,1286,842,253,288,2011
AL,5558,3749,1809,4325,1233,1114,659,2011
AR,3424,1802,1622,2505,919,607,411,2011
AZ,10504,7302,3202,6403,4101,2283,1528,2011
CA,125128,50691,74437,97964,27164,34589,16783,2011
CO,15116,6146,8970,4546,10570,1495,2074,2011
CT,4456,3761,695,3071,1385,1099,443,2011
DC,6546,6241,305,3858,2688,2509,515,2011
DE,1035,1013,22,663,372,70,55,2011
FL,56687,20824,35863,37584,19103,11638,5644,2011
GA,20975,8723,12252,15975,5000,4581,2243,2011
GU,1745,204,1541,279,1466,370,33,2011
HI,6188,3632,2556,3195,2993,935,505,2011
IA,3134,3013,121,1628,1506,351,267,2011
ID,2199,1585,614,1310,889,308,250,2011
IL,14009,11089,2920,8173,5836,2563,1081,2011
IN,6196,5550,646,3789,2407,602,714,2011
KS,2511,2222,289,1425,1086,338,384,2011
KY,6034,5183,851,3842,2192,784,636,2011
LA,9291,3405,5886,7941,1350,4433,950,2011
MA,16664,15961,703,6344,10320,2061,1268,2011
MD,10208,6496,3712,6353,3855,1800,696,2011
ME,2447,2418,29,1184,1263,212,127,2011
MI,13185,10864,2321,7634,5551,1764,959,2011
