id,State,"Total Year-Round Beds (ES, TH, SH)",year
414,NJ,7882,2012
415,NM,2545,2012
416,NV,4630,2012
417,NY,69190,2012
418,OH,12499,2012
419,OK,4013,2012
420,OR,7249,2012
421,PA,16050,2012
422,PR,2199,2012
423,RI,1162,2012
424,SC,4825,2012
425,SD,1444,2012
426,TN,6492,2012
427,TX,22880,2012
428,UT,3020,2012
429,VA,7514,2012
430,VI,158,2012
431,VT,981,2012
432,WA,16966,2012
433,WI,6384,2012
434,WV,1874,2012
435,WY,817,2012
436,AK,1939,2011
437,AL,4497,2011
438,AR,2710,2011
439,AZ,8748,2011
440,CA,49657,2011
441,CO,6361,2011
442,CT,3906,2011
443,DC,6479,2011
444,DE,1216,2011
445,FL,23974,2011
446,GA,11167,2011
447,GU,264,2011
448,HI,4250,2011
449,IA,3982,2011
450,ID,1895,2011
451,IL,13045,2011
452,IN,7245,2011
453,KS,2942,2011
454,KY,5389,2011
455,LA,5073,2011
456,MA,14567,2011
457,MD,6284,2011
458,ME,2801,2011
459,MI,12108,2011
460,MN,6973,2011
461,MO,8136,2011
462,MS,1373,2011
463,MT,1207,2011
464,NC,10277,2011
465,ND,739,2011
466,NE,3807,2011
467,NH,1360,2011
468,NJ,7576,2011
469,NM,2797,2011
470,NV,4775,2011
471,NY,64083,2011
472,OH,11693,2011
473,OK,3632,2011
474,OR,7377,2011
475,PA,16363,2011
476,PR,2053,2011
477,RI,1300,2011
478,SC,3791,2011
479,SD,1319,2011
480,TN,6746,2011
481,TX,24323,2011
482,UT,2954,2011
483,VA,7690,2011
484,VI,195,2011
485,VT,805,2011
486,WA,16669,2011
487,WI,6692,2011
488,WV,1878,2011
489,WY,753,2011
490,AK,1805,2010
491,AL,4221,2010
492,AR,2700,2010
493,AZ,8914,2010
494,CA,50282,2010
495,CO,6420,2010
496,CT,3921,2010
497,DC,6375,2010
498,DE,1233,2010
499,FL,23362,2010
500,GA,9965,2010
501,GU,240,2010
502,HI,4259,2010
503,IA,3978,2010
504,ID,1905,2010
505,IL,13555,2010
506,IN,7661,2010
507,KS,2787,2010
508,KY,5556,2010
509,LA,5148,2010
510,MA,15509,2010
511,MD,5900,2010
512,ME,2724,2010
513,MI,11822,2010
514,MN,7325,2010
515,MO,7440,2010
516,MS,1376,2010
517,MT,1170,2010
518,NC,9968,2010
519,ND,850,2010
520,NE,3490,2010
521,NH,1374,2010
522,NJ,6845,2010
523,NM,2692,2010
524,NV,3971,2010
525,NY,63841,2010
526,OH,11324,2010
527,OK,3633,2010
528,OR,7640,2010
529,PA,15745,2010
530,PR,2019,2010
531,RI,1215,2010
532,SC,3508,2010
533,SD,1379,2010
534,TN,6202,2010
535,TX,22393,2010
536,UT,2922,2010
537,VA,7949,2010
538,VI,148,2010
539,VT,786,2010
540,WA,18071,2010
541,WI,6008,2010
542,WV,2002,2010
543,WY,904,2010
544,AK,1697,2009
545,AL,4065,2009
546,AR,1802,2009
547,AZ,9066,2009
548,CA,52397,2009
549,CO,6363,2009
550,CT,4043,2009
551,DC,6202,2009
552,DE,1197,2009
553,FL,22376,2009
554,GA,10584,2009
555,GU,234,2009
556,HI,4210,2009
557,IA,4288,2009
558,ID,1944,2009
559,IL,13153,2009
560,IN,7608,2009
561,KS,1399,2009
562,KY,5250,2009
563,LA,5070,2009
564,MA,15036,2009
565,MD,6026,2009
566,ME,2774,2009
567,MI,12059,2009
568,MN,7171,2009
569,MO,7391,2009
570,MS,1451,2009
571,MT,1214,2009
572,NC,9639,2009
573,ND,790,2009
574,NE,3189,2009
575,NH,1356,2009
576,NJ,6809,2009
577,NM,2743,2009
578,NV,8397,2009
579,NY,60070,2009
580,OH,10757,2009
581,OK,3661,2009
582,OR,8563,2009
583,PA,16112,2009
584,PR,2038,2009
585,RI,1450,2009
586,SC,4261,2009
587,SD,1379,2009
588,TN,5725,2009
589,TX,22449,2009
590,UT,3215,2009
591,VA,7947,2009
592,VI,123,2009
593,VT,791,2009
594,WA,17927,2009
595,WI,5989,2009
596,WV,1853,2009
597,WY,739,2009
598,AK,1697,2008
599,AL,4337,2008
600,AR,1847,2008
601,AZ,9803,2008
602,CA,52016,2008
603,CO,6522,2008
604,CT,3958,2008
605,DC,5742,2008
606,DE,1250,2008
607,FL,22036,2008
608,GA,10152,2008
609,GU,244,2008
610,HI,3872,2008
611,IA,4311,2008
612,ID,1872,2008
613,IL,13815,2008
614,IN,8811,2008
615,KS,2474,2008
616,KY,6078,2008
617,LA,4707,2008
618,MA,14239,2008
619,MD,5610,2008
620,ME,2966,2008
621,MI,11678,2008
622,MN,7096,2008
623,MO,6994,2008
624,MS,1788,2008
625,MT,1188,2008
626,NC,9730,2008
627,ND,782,2008
628,NE,3217,2008
629,NH,1516,2008
630,NJ,6833,2008
631,NM,2649,2008
632,NV,5294,2008
633,NY,57217,2008
634,OH,10629,2008
635,OK,3575,2008
636,OR,9237,2008
637,PA,16747,2008
638,PR,1892,2008
639,RI,1254,2008
640,SC,3969,2008
641,SD,1379,2008
642,TN,6259,2008
643,TX,20666,2008
644,UT,3306,2008
645,VA,7671,2008
646,VI,108,2008
647,VT,931,2008
648,WA,17279,2008
649,WI,6305,2008
650,WV,2060,2008
651,WY,710,2008
652,AK,1758,2007
653,AL,4373,2007
654,AR,2592,2007
655,AZ,9333,2007
656,CA,51078,2007
657,CO,6414,2007
658,CT,3902,2007
659,DC,5264,2007
660,DE,1225,2007
661,FL,21062,2007
662,GA,9233,2007
663,GU,217,2007
664,HI,3100,2007
665,IA,3553,2007
666,ID,1626,2007
667,IL,13852,2007
668,IN,8167,2007
669,KS,2784,2007
670,KY,6279,2007
671,LA,4627,2007
672,MA,14616,2007
673,MD,6051,2007
674,ME,2998,2007
675,MI,11647,2007
676,MN,7178,2007
677,MO,6980,2007
678,MS,1609,2007
679,MT,1210,2007
680,NC,8831,2007
681,ND,957,2007
682,NE,3335,2007
683,NH,1678,2007
684,NJ,7319,2007
685,NM,2334,2007
686,NV,5671,2007
687,NY,59556,2007
688,OH,12172,2007
689,OK,3548,2007
690,OR,12980,2007
691,PA,16531,2007
692,PR,2572,2007
693,RI,1456,2007
694,SC,3874,2007
695,SD,1416,2007
696,TN,6405,2007
697,TX,20794,2007
698,UT,3245,2007
699,VA,7725,2007
700,VI,164,2007
701,VT,879,2007
702,WA,17587,2007
703,WI,6255,2007
704,WV,1915,2007
705,WY,729,2007
