WA,7,20439,2011
WI,4,5785,2011
WV,4,2211,2011
WY,1,1038,2011
Total,432,623788,2011
AK,2,1863,2010
AL,8,6046,2010
AR,5,2762,2010
AZ,3,13711,2010
CA,43,123480,2010
CO,3,15482,2010
CT,10,4316,2010
DC,1,6539,2010
DE,1,982,2010
FL,28,57551,2010
GA,7,19836,2010
GU,1,1635,2010
HI,2,5834,2010
IA,3,3014,2010
ID,2,2346,2010
IL,21,14395,2010
IN,3,6452,2010
KS,5,2024,2010
KY,3,6623,2010
LA,9,12482,2010
MA,20,16646,2010
MD,16,10845,2010
ME,3,2379,2010
MI,21,13058,2010
MN,11,7869,2010
MO,8,8122,2010
MS,3,2743,2010
MT,1,1615,2010
NC,12,12191,2010
ND,1,799,2010
NE,7,3877,2010
NH,3,1574,2010
NJ,20,13737,2010
NM,2,3475,2010
NV,3,11205,2010
NY,32,65606,2010
OH,9,12569,2010
OK,8,5229,2010
OR,8,19492,2010
PA,17,14516,2010
PR,2,4149,2010
RI,1,1282,2010
SC,4,4473,2010
SD,1,731,2010
TN,10,10276,2010
TX,17,35121,2010
UT,3,3284,2010
VA,22,9080,2010
VI,1,487,2010
VT,2,1220,2010
WA,7,22878,2010
WI,4,6333,2010
WV,4,2264,2010
WY,1,579,2010
Total,444,637077,2010
AK,2,1992,2009
AL,8,6080,2009
AR,6,2852,2009
AZ,3,14721,2009
CA,43,123678,2009
CO,3,15268,2009
CT,12,4605,2009
DC,1,6228,2009
DE,1,1130,2009
FL,28,55599,2009
GA,7,20360,2009
GU,1,1088,2009
HI,2,5782,2009
IA,3,3380,2009
ID,2,1939,2009
IL,21,14055,2009
IN,3,6984,2009
KS,5,1892,2009
KY,3,5999,2009
LA,9,12504,2009
MA,20,15482,2009
MD,16,11698,2009
ME,3,2444,2009
MI,22,14005,2009
MN,11,7718,2009
MO,8,6959,2009
MS,3,2797,2009
MT,1,1196,2009
NC,12,12918,2009
ND,1,773,2009
NE,7,3718,2009
NH,3,1645,2009
NJ,20,13169,2009
NM,2,3475,2009
NV,3,11089,2009
NY,32,61067,2009
OH,9,12700,2009
OK,8,4838,2009
OR,8,17309,2009
PA,17,15096,2009
PR,2,4070,2009
RI,1,1607,2009
SC,5,4473,2009
SD,1,731,2009
TN,10,10532,2009
TX,18,36761,2009
UT,3,3795,2009
VA,22,8852,2009
VI,1,471,2009
VT,2,1214,2009
WA,7,22782,2009
WI,4,6525,2009
WV,4,1667,2009
WY,1,515,2009
Total,450,630227,2009
AK,2,1646,2008
AL,8,5387,2008
AR,6,3255,2008
AZ,3,12488,2008
CA,42,136531,2008
CO,3,14747,2008
CT,12,4627,2008
DC,1,6044,2008
DE,1,933,2008
FL,28,50158,2008
GA,7,19095,2008
GU,1,725,2008
HI,2,6061,2008
IA,3,3346,2008
ID,2,1464,2008
IL,21,14724,2008
IN,3,7395,2008
KS,5,1738,2008
KY,3,8137,2008
LA,9,5481,2008
MA,21,14506,2008
MD,16,9219,2008
ME,3,2632,2008
MI,22,28248,2008
MN,11,7644,2008
MO,8,7687,2008
MS,3,1961,2008
MT,1,1417,2008
NC,13,12411,2008
ND,1,615,2008
NE,7,3985,2008
NH,3,2019,2008
NJ,20,13832,2008
NM,2,3015,2008
NV,3,8726,2008
NY,29,61125,2008
OH,9,12912,2008
OK,8,3846,2008
OR,8,20653,2008
PA,17,15378,2008
PR,2,3012,2008
RI,1,1196,2008
SC,5,5660,2008
SD,1,579,2008
TN,10,9705,2008
TX,18,40190,2008
UT,3,3434,2008
VA,22,8469,2008
VI,1,602,2008
VT,2,954,2008
WA,7,21954,2008
WI,4,5449,2008
WV,4,2016,2008
WY,1,751,2008
Total,448,639784,2008
AK,2,1642,2007
AL,8,5452,2007
AR,9,3836,2007
AZ,3,14646,2007
CA,42,138986,2007
CO,3,14225,2007
CT,12,4482,2007
DC,1,5320,2007
DE,1,1061,2007
FL,27,48069,2007
GA,7,19639,2007
GU,1,725,2007
HI,2,6070,2007
IA,3,2734,2007
ID,2,1749,2007
IL,21,15487,2007
IN,3,7358,2007
KS,6,2111,2007
KY,3,8061,2007
LA,9,5494,2007
MA,21,15127,2007
MD,16,9628,2007
ME,3,2638,2007
MI,24,28295,2007
MN,13,7323,2007
MO,9,6247,2007
MS,3,1377,2007
MT,1,1150,2007
NC,13,11802,2007
ND,1,636,2007
NE,7,3531,2007
NH,3,2248,2007
NJ,21,17314,2007
NM,2,3015,2007
NV,3,8642,2007
NY,32,62601,2007
OH,9,11264,2007
OK,8,4221,2007
OR,8,17590,2007
PA,17,16220,2007
PR,2,4309,2007
RI,1,1372,2007
SC,5,5660,2007
SD,1,579,2007
TN,10,11210,2007
TX,18,39788,2007
UT,3,3011,2007
VA,22,9746,2007
VI,1,559,2007
VT,2,1035,2007
WA,8,23379,2007
WI,4,5648,2007
WV,4,2409,2007
WY,1,537,2007
Total,461,647258,2007
